problema;  modelo;  ub_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; minla_fav; -1.0; 3; 4; True; 29.0; 29.0; 0.0; 140; 31; 21; 34; 0; 376; integer optimal solution; 0.006685018539428711; False;  
ID000_M003_J004; minla_fav; 29.0; 3; 4; True; 29.0; 29.0; 0.0; 140; 31; 19; 0; 0; 376; integer optimal solution; 0.0013628005981445312; False;  
ID000_M003_J004; manne; -1.0; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 0; 132; integer optimal solution; 0.006815910339355469; False;  
ID000_M003_J004; manne; 29.0; 3; 4; True; 29.000000000000018; 29.0; 0.0; 48; 31; 19; 0; 0; 132; integer optimal solution; 0.0014090538024902344; False;  
ID000_M003_J004; minla_fav; -1.0; 3; 4; False; nan; 24.492644002992268; nan; 140; 31; 23; 43; 0; 376; optimal; 0.0005710124969482422; False;  
ID000_M003_J004; minla_fav; 29.0; 3; 4; False; nan; 24.492644002992268; nan; 140; 31; 23; 43; 0; 376; optimal; 0.0005271434783935547; False;  
ID000_M003_J004; manne; -1.0; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 0; 132; optimal; 0.0003428459167480469; False;  
ID000_M003_J004; manne; 29.0; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 0; 132; optimal; 0.0003249645233154297; False;  
ID000_M003_J005; minla_fav; -1.0; 3; 5; True; 33.0; 33.0; 0.0; 220; 46; 28; 117; 0; 605; integer optimal solution; 0.008810043334960938; False;  
ID000_M003_J005; minla_fav; 33.0; 3; 5; True; 32.99999999999997; 33.0; 0.0; 220; 46; 32; 0; 0; 605; integer optimal solution; 0.002972126007080078; False;  
ID000_M003_J005; manne; -1.0; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 29; 107; 0; 210; integer optimal solution; 0.009541034698486328; False;  
ID000_M003_J005; manne; 33.0; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 35; 66; 0; 210; integer optimal solution; 0.006770133972167969; False;  
ID000_M003_J005; minla_fav; -1.0; 3; 5; False; nan; 28.558613184079604; nan; 220; 46; 37; 58; 0; 605; optimal; 0.0006949901580810547; False;  
ID000_M003_J005; minla_fav; 33.0; 3; 5; False; nan; 28.558613184079604; nan; 220; 46; 37; 58; 0; 605; optimal; 0.0006740093231201172; False;  
ID000_M003_J005; manne; -1.0; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 0; 210; optimal; 0.000347137451171875; False;  
ID000_M003_J005; manne; 33.0; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 0; 210; optimal; 0.0003371238708496094; False;  
ID000_M015_J015; minla_fav; -1.0; 15; 15; True; 1210.0; 1210.0; 0.0; 10110; 1801; 1020; 11029299; 75919; 29445; integer optimal solution; 455.3144750595093; False;  
